order_id,order_date,ship_mode,segment,country,city,state,postal_code,region,category,sub_category,product_id,quantity,discount,sale_price,profit
37,2023-07-27,First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings,FUR-FU-10003664,5,7.6,1444.0,1264.0
38,2023-03-07,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,OFF-EN-10002986,9,2.2,242.00000000000003,152.00000000000003
39,2023-08-18,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases,FUR-BO-10002545,3,10.6,5618.0,5158.0
40,2022-01-20,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004218,3,4.2,882.0,682.0
41,2023-06-29,Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones,TEC-PH-10000486,4,18.5,6845.0,6495.0
42,2022-06-28,Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones,TEC-PH-10004093,4,4.5,675.0,535.0
43,2023-02-09,Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage,OFF-ST-10003479,2,4.0,320.0,250.0
44,2023-09-18,Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage,OFF-ST-10003282,2,4.0,400.0,310.0
45,2022-11-11,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories,TEC-AC-10000171,2,1.0,50.0,10.0
46,2022-05-27,First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders,OFF-BI-10003291,2,1.0,20.0,0.0
47,2023-02-03,Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage,OFF-ST-10001713,4,8.4,1764.0,1584.0
48,2022-02-16,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories,TEC-AC-10002167,3,2.5,125.0,75.0
49,2022-05-06,Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones,TEC-PH-10003988,2,0.8,16.0,-4.0
50,2023-06-18,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders,OFF-BI-10004410,6,1.6,64.0,34.0
51,2022-01-11,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels,OFF-LA-10002762,6,3.2,256.0,186.0
52,2023-09-09,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings,FUR-FU-10001706,2,0.4,4.0,-6.0
53,2022-01-31,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,FUR-CH-10003061,1,4.5,405.0,335.0
54,2023-07-30,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,OFF-FA-10000304,7,0.6,12.0,-8.0
55,2023-10-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,TEC-PH-10002447,5,41.2,42436.0,41586.0
56,2023-07-06,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,OFF-ST-10000604,6,10.5,2205.0,2005.0
57,2023-09-15,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10001569,5,1.5,45.0,15.0
58,2022-08-09,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,FUR-CH-10003968,5,6.4,2048.0,1758.0
59,2022-04-05,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,OFF-PA-10000587,2,0.4,4.0,-6.0
60,2023-06-24,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,TEC-AC-10002167,2,1.5,45.0,25.0
61,2022-03-10,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,OFF-BI-10001460,4,1.0,50.0,10.0
62,2023-04-08,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,OFF-AR-10001868,1,0.0,0.0,0.0
63,2023-10-16,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,TEC-AC-10004633,2,0.3,3.0,-7.0
64,2023-08-02,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,OFF-BI-10001078,6,0.6,18.0,-2.0
65,2022-11-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10003892,3,7.5,1125.0,995.0
66,2022-05-06,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10000397,4,1.6,128.0,58.0
67,2022-03-26,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,FUR-CH-10001146,5,10.5,2205.0,2025.0
68,2022-04-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,OFF-AR-10002671,8,33.3,36963.0,36023.0
69,2022-08-12,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,TEC-PH-10002726,4,5.1,866.9999999999999,706.9999999999999
70,2022-02-25,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,OFF-PA-10000482,2,1.6,128.0,58.0
71,2022-11-29,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,OFF-BI-10004654,1,0.0,0.0,0.0
72,2022-12-18,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,OFF-PA-10004675,3,0.6,12.0,-8.0
73,2023-03-07,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,FUR-CH-10000513,8,16.6,13778.000000000002,12988.000000000002
74,2023-07-12,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,FUR-FU-10003708,2,3.0,300.0,210.0
75,2022-10-21,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,OFF-ST-10004123,1,1.4,98.0,38.0
76,2023-04-17,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,OFF-BI-10004182,3,0.0,0.0,0.0
77,2023-05-20,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,FUR-FU-10000260,3,0.4,4.0,-6.0
78,2023-05-13,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,OFF-ST-10000615,3,0.6,18.0,-2.0
79,2022-10-20,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,FUR-FU-10003194,5,0.4,8.0,-12.0
80,2023-10-22,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,OFF-AP-10002118,1,6.3,1323.0,1133.0
81,2022-07-20,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,OFF-BI-10002309,3,0.4,8.0,-12.0
82,2022-11-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10002053,5,0.5,5.0,-5.0
83,2022-11-10,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,OFF-ST-10002370,1,0.8,16.0,-4.0
84,2022-03-15,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,OFF-EN-10000927,7,6.0,1200.0,1020.0
85,2023-10-03,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,OFF-ST-10003656,3,4.6,1058.0,848.0
86,2022-03-20,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,FUR-CH-10000863,2,15.0,4500.0,4240.0
87,2023-12-04,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,TEC-AC-10001998,1,1.0,20.0,0.0
88,2023-11-24,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,OFF-LA-10000134,2,0.5,5.0,-5.0
89,2023-12-30,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,OFF-ST-10003442,7,8.0,1280.0,1140.0
90,2022-05-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,OFF-AR-10004930,3,0.4,8.0,-12.0
91,2023-04-06,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,TEC-PH-10004093,2,1.4,98.0,38.0
92,2022-03-23,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,OFF-PA-10000304,1,0.2,2.0,-8.0
93,2023-04-07,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,OFF-PA-10003177,2,0.2,2.0,-8.0
94,2022-05-13,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,FUR-FU-10003799,3,2.5,125.0,75.0
95,2022-04-23,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,OFF-BI-10002852,2,0.9,27.0,7.0
96,2023-12-17,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,OFF-BI-10004738,1,0.2,2.0,-8.0
97,2022-04-28,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,FUR-FU-10000629,7,5.0,500.0,420.0
98,2023-06-14,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,OFF-BI-10001721,3,2.0,100.0,60.0
99,2023-02-05,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,OFF-AP-10000358,6,2.4,192.0,122.0
100,2023-12-30,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,OFF-PA-10003256,7,1.8,108.0,48.0
101,2022-02-24,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,TEC-AC-10001767,3,5.0,500.0,420.0
102,2022-07-25,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,OFF-BI-10002609,3,0.0,0.0,0.0
103,2022-01-14,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,OFF-PA-10004040,4,0.8,16.0,-4.0
104,2022-12-22,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,TEC-AC-10001552,6,7.2,1728.0,1508.0
105,2022-06-09,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,FUR-FU-10004006,3,5.0,500.0,410.0
106,2023-10-28,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,OFF-BI-10002794,3,2.0,80.0,50.0
107,2022-10-18,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,TEC-AC-10003499,8,3.5,245.0,185.0
108,2022-11-23,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,TEC-PH-10002844,1,0.9,27.0,-3.0
109,2023-10-12,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,OFF-AR-10000390,1,0.0,0.0,0.0
110,2023-03-17,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,TEC-AC-10000844,5,6.8,2312.0,2022.0
111,2023-09-05,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,FUR-FU-10001934,2,0.8,32.0,2.0
112,2022-01-28,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,OFF-AR-10000380,2,2.4,192.0,122.0
113,2022-12-26,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,OFF-BI-10003981,6,0.9,27.0,-3.0
114,2023-06-06,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10000621,14,0.8,32.0,-8.0
115,2023-11-08,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002600,2,0.0,0.0,0.0
116,2022-11-15,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10004965,3,0.8,16.0,-4.0
117,2022-06-30,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,OFF-EN-10002504,6,6.5,845.0,725.0
118,2023-10-27,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,FUR-TA-10001768,3,31.6,24964.0,24244.0
119,2023-07-19,,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,OFF-BI-10003650,1,8.0,1280.0,1140.0
120,2023-03-30,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,FUR-FU-10002157,3,1.5,75.0,25.0
121,2022-03-03,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,OFF-BI-10003910,4,0.6,18.0,-2.0
122,2022-10-20,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,OFF-ST-10000777,6,4.6,1058.0,868.0
123,2023-01-23,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,OFF-EN-10002500,9,4.8,576.0,466.0
124,2023-01-21,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,TEC-PH-10003875,7,1.4,98.0,38.0
125,2023-07-18,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,FUR-CH-10004063,3,18.0,10800.0,10250.0
126,2023-07-15,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,FUR-TA-10004534,6,24.8,15376.0,14836.0
127,2022-07-14,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,OFF-BI-10003274,2,0.0,0.0,0.0
128,2023-03-30,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,OFF-ST-10002974,7,9.6,2304.0,2104.0
129,2023-09-18,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10001146,2,1.6,128.0,58.0
130,2022-01-03,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,FUR-FU-10003773,3,9.6,2304.0,2084.0
131,2022-07-17,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,TEC-PH-10002293,5,1.8,108.0,58.0
132,2022-03-30,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,OFF-PA-10002377,2,3.2,256.0,176.0
133,2022-05-01,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,OFF-FA-10002780,9,1.0,20.0,0.0
134,2023-04-29,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001804,3,0.8,16.0,-4.0
135,2022-10-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,OFF-PA-10001736,1,2.0,80.0,50.0
136,2022-03-05,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,OFF-AR-10001149,4,0.5,5.0,-5.0
137,2022-03-28,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,OFF-FA-10002988,2,0.0,0.0,0.0
138,2023-10-16,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,OFF-BI-10004781,3,1.6,128.0,58.0
139,2022-05-15,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,OFF-SU-10001218,6,3.5,245.0,185.0
140,2023-06-06,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,FUR-FU-10001706,14,0.8,32.0,-8.0
141,2022-06-10,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,FUR-FU-10004848,2,1.6,128.0,68.0
142,2022-07-22,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,OFF-AR-10000940,3,0.3,3.0,-7.0
143,2023-12-27,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,OFF-EN-10004030,3,0.2,2.0,-8.0
144,2023-11-29,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,OFF-PA-10004327,3,7.0,980.0,850.0
145,2022-03-19,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,OFF-AP-10001058,3,16.8,14112.0,13332.0
146,2023-06-04,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,OFF-ST-10003656,7,20.1,13467.000000000002,12867.000000000002
147,2023-05-31,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,FUR-FU-10000521,4,3.6,324.0,244.0
148,2022-06-12,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10000215,11,15.2,5776.0,5426.0
149,2022-05-18,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,TEC-PH-10001448,3,7.5,1125.0,985.0
150,2022-01-23,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,FUR-CH-10000454,8,58.5,114075.0,112495.0
151,2023-08-21,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,OFF-BI-10002735,5,6.8,1156.0,1006.0
152,2023-08-31,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,OFF-AP-10000326,5,8.0,1280.0,1140.0
153,2022-10-25,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,TEC-PH-10001254,2,4.0,800.0,640.0
154,2022-10-07,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10001950,7,2.4,144.0,94.0
155,2023-03-25,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,OFF-PA-10002254,4,4.4,484.00000000000006,384.00000000000006
156,2023-03-27,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,OFF-ST-10001590,6,3.2,256.0,196.0
157,2022-05-03,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,OFF-AR-10001547,3,0.3,3.0,-7.0
158,2022-05-18,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,FUR-CH-10004063,2,9.2,4232.0,3852.0
159,2022-04-25,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,OFF-LA-10002475,2,0.3,3.0,-7.0
160,2022-06-30,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,TEC-PH-10004536,7,47.0,44180.0,43310.0
161,2022-01-10,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,OFF-PA-10002751,1,0.4,4.0,-6.0
162,2023-11-27,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,TEC-AC-10003657,2,2.5,125.0,85.0
163,2022-02-16,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,OFF-EN-10001990,5,1.2,36.0,6.0
164,2022-08-14,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,OFF-BI-10004002,2,0.9,27.0,7.0
165,2023-10-14,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10004441,3,0.5,5.0,-5.0
166,2022-10-16,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,TEC-MA-10000822,8,326.4,2663424.0,2656574.0
167,2022-11-20,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,OFF-ST-10000991,3,11.2,3136.0,2886.0
168,2023-11-04,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,FUR-CH-10004287,9,69.6,121103.99999999999,119483.99999999999
169,2023-06-16,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,OFF-AR-10002656,6,1.2,36.0,6.0
170,2022-10-20,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,OFF-AP-10002518,5,3.6,648.0,498.0
171,2022-07-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,TEC-PH-10003931,3,7.0,980.0,860.0
172,2022-01-28,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10000659,3,0.4,8.0,-12.0
173,2023-10-10,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,OFF-PA-10001144,2,4.4,484.00000000000006,384.00000000000006
174,2022-10-05,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,FUR-CH-10003817,7,6.8,2312.0,2022.0
175,2023-01-02,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,OFF-AP-10000891,2,2.0,100.0,50.0
176,2023-04-07,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,OFF-LA-10003148,4,1.0,20.0,0.0
177,2022-04-21,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,OFF-AP-10002684,4,2.0,200.0,110.0
178,2023-10-28,Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,FUR-CH-10004698,7,20.0,8000.0,7630.0
179,2022-04-18,Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,OFF-SU-10002189,5,0.6,12.0,-8.0
180,2022-03-08,Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,OFF-AR-10001940,1,0.0,0.0,0.0
181,2023-06-08,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,OFF-ST-10003455,2,1.0,20.0,0.0
182,2022-06-25,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,TEC-AC-10004659,7,12.3,5043.0,4663.0
183,2022-01-10,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10003273,4,25.0,12500.0,12030.0
184,2023-10-17,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,TEC-PH-10004896,5,3.0,450.0,310.0
185,2023-02-23,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,TEC-AC-10002345,2,1.5,45.0,15.0
186,2022-10-19,Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,OFF-BI-10001890,2,0.2,2.0,-8.0
187,2022-08-22,Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,TEC-AC-10002323,8,5.4,972.0000000000001,812.0000000000001
